"","job","firm","functional_area","type","link"
"1","Data Scientist","Digital Power","Data Science","Job","https://www.consultancy.uk/jobs/39317/digital-power/data-scientist"
"2","Healthcare consultant","Develop Consulting","Lean & SixSigma","Job","https://www.consultancy.uk/jobs/35181/develop-consulting/healthcare-consultant"
"3","Internships","Simon-Kucher","Pricing","Internship","https://www.consultancy.uk/internships/277/simon-kucher-partners/internships"
"4","Senior Analyst","CIL Management Consultants","Strategy","Job","https://www.consultancy.uk/jobs/35933/cil-management-consultants/senior-analyst"
"5","Senior Consultant | Energy & Natural Resources | Strategic Communications","FTI Consulting","Unknown","Job","https://www.consultancy.uk/jobs/35830/fti-consulting/senior-consultant-energy-natural-resources-strategic-communications"
"6","Analyst","Enfuse Group","Digital","Job","https://www.consultancy.uk/jobs/39817/enfuse-group/analyst"
"7","Associate Consultant","Bain & Company","Strategy","Job","https://www.consultancy.uk/jobs/26246/bain-company/associate-consultant"
"8","Principal Consultants","Q5","Strategy","Job","https://www.consultancy.uk/jobs/39296/q5/principal-consultants"
"9","Senior Infrastructure & Cloud Services Advisor","West Monroe","Cloud","Job","https://www.consultancy.uk/jobs/37975/west-monroe/senior-infrastructure-cloud-services-advisor"
"10","Business Analyst","Humatica","Data Science","Job","https://www.consultancy.uk/jobs/37963/humatica/business-analyst"
"11","Data Engineer","Valcon","Data Science","Job","https://www.consultancy.uk/jobs/35951/valcon/data-engineer"
"12","Management Consultants","Collinson Grant","Process Management","Job","https://www.consultancy.uk/jobs/35827/collinson-grant/management-consultants"
"13","Senior Business Development Manager","Ayming","Sales","Job","https://www.consultancy.uk/jobs/27657/ayming/senior-business-development-manager"
"14","Senior Strategist","The Upside","Strategy","Job","https://www.consultancy.uk/jobs/35875/the-upside/senior-strategist"
"15","Analyst, satellite and space markets","Analysys Mason","Strategy","Job","https://www.consultancy.uk/jobs/40424/analysys-mason/analyst-satellite-and-space-markets"
"16","Sourcing & Commercial Role","Coeus Consulting","Project Management","Job","https://www.consultancy.uk/jobs/30226/coeus-consulting/sourcing-commercial-role"
"17","Strategy& - Strategy Senior Associate","PwC","Strategy","Job","https://www.consultancy.uk/jobs/40308/pwc/strategy-strategy-senior-associate"
"18","Director - Supply Chain Strategy & Transformation","Capgemini Invent","Strategy","Job","https://www.consultancy.uk/jobs/39293/capgemini-invent/director-supply-chain-strategy-transformation"
"19","PH-4804; Test Automation Manager, Python / Azure","B2E Consulting","Unknown","Job","https://www.consultancy.uk/jobs/29268/b2e-consulting/ph-4804-test-automation-manager-python-azure"
"20","M&A Managing Partner UK","Marktlink","Unknown","Job","https://www.consultancy.uk/jobs/40290/marktlink/ma-managing-partner-uk"
"21","Associate","McKinsey & Company","Strategy","Job","https://www.consultancy.uk/jobs/26234/mckinsey-company/associate"
"22","PMO Lead","ThreeTwoFour","Project Management","Job","https://www.consultancy.uk/jobs/30109/threetwofour/pmo-lead"
"23","Consultant Treasury Technology","Zanders","Corporate Finance","Job","https://www.consultancy.uk/jobs/34533/zanders/consultant-treasury-technology"
"24","AWS Principal Architect","PA Consulting","Unknown","Job","https://www.consultancy.uk/jobs/38626/pa-consulting/aws-principal-architect"
"25","Consultants and Senior Consultants","Procura Consulting","Project Management","Job","https://www.consultancy.uk/jobs/35521/procura-consulting/consultants-and-senior-consultants"
"26","Intermediate Quantity Surveyor","Panoptic Consultancy Group","Project Management","Job","https://www.consultancy.uk/jobs/33696/panoptic-consultancy-group/intermediate-quantity-surveyor"
"27","HR Manager","BearingPoint","Human Resources","Job","https://www.consultancy.uk/jobs/30520/bearingpoint/hr-manager"
"28","Manager - Technology","First Consulting","Mobile & Apps","Job","https://www.consultancy.uk/jobs/29610/first-consulting/manager-technology"
"29","Independent Consultant","dss+","Sustainability","Job","https://www.consultancy.uk/jobs/29556/dss/independent-consultant"
"30","Business Development Manager UK","COMATCH","Sales","Job","https://www.consultancy.uk/jobs/34521/comatch/business-development-manager-uk"
"31","Senior 3D/Motion Designer","Yonder Consulting","Marketing","Job","https://www.consultancy.uk/jobs/37414/yonder-consulting/senior-3dmotion-designer"
"32","Internship / Work Placement","Skarbek Associates","Marketing","Internship","https://www.consultancy.uk/internships/2388/skarbek-associates/internship-work-placement"
"33","Experienced Hire","Fairgrove Partners","Strategy","Job","https://www.consultancy.uk/jobs/30874/fairgrove-partners/experienced-hire"
"34","Senior Consultant - Local Government Strategy","Campbell Tickell","Strategy","Job","https://www.consultancy.uk/jobs/37966/campbell-tickell/senior-consultant-local-government-strategy"
"35","","Alvarez & Marsal","Management","Job","https://www.consultancy.uk/jobs/35518/alvarez-marsal/"
"36","Analyst","Change Management Group","Process Management","Job","https://www.consultancy.uk/jobs/37358/change-management-group/analyst"
"37","Consultant Roles (at all levels) – IT Advisory","Mason Advisory","Digital","Job","https://www.consultancy.uk/jobs/35824/mason-advisory/consultant-roles-at-all-levels-it-advisory"
"38","Director Client Services - Life Sciences","Genioo","Strategy","Job","https://www.consultancy.uk/jobs/33657/genioo/director-client-services-life-sciences"
"39","Associate Director","Yonder Consulting","Project Management","Job","https://www.consultancy.uk/jobs/37417/yonder-consulting/associate-director"
"40","GCP Cloud Engineer","PA Consulting","Cloud","Job","https://www.consultancy.uk/jobs/38656/pa-consulting/gcp-cloud-engineer"
"41","Experienced Consultant, Mergers & Acquisitions","West Monroe","Mergers & Acquisitions","Job","https://www.consultancy.uk/jobs/37978/west-monroe/experienced-consultant-mergers-acquisitions"
"42","Operational Technology Cyber Security Expert | Senior Manager | Dublin or Cork","PwC","IT Strategy","Job","https://www.consultancy.uk/jobs/40212/pwc/operational-technology-cyber-security-expert-senior-manager-dublin-or-cork"
"43","Marketing Executive/Manager","Panoptic Consultancy Group","Marketing","Job","https://www.consultancy.uk/jobs/33690/panoptic-consultancy-group/marketing-executivemanager"
"44","Director, Business Intelligence | Forensic & Litigation Consulting","FTI Consulting","Forensic & Litigation","Job","https://www.consultancy.uk/jobs/35809/fti-consulting/director-business-intelligence-forensic-litigation-consulting"
"45","Consultant","Bain & Company","Strategy","Job","https://www.consultancy.uk/jobs/26249/bain-company/consultant"
"46","Consulting Roles","Q5","Strategy","Job","https://www.consultancy.uk/jobs/29478/q5/consulting-roles"
"47","Associate Consultant","Analysys Mason","Digital","Job","https://www.consultancy.uk/jobs/40421/analysys-mason/associate-consultant"
"48","Principal consultant","Change Management Group","Strategy","Job","https://www.consultancy.uk/jobs/37352/change-management-group/principal-consultant"
"49","Manufacturing and construction consultant","Develop Consulting","Lean & SixSigma","Job","https://www.consultancy.uk/jobs/35184/develop-consulting/manufacturing-and-construction-consultant"
"50","Consultant Business & Technology","First Consulting","Digital","Job","https://www.consultancy.uk/jobs/29613/first-consulting/consultant-business-technology"
"51","PH-4779; German Speaking PMO Consultant","B2E Consulting","Unknown","Job","https://www.consultancy.uk/jobs/28865/b2e-consulting/ph-4779-german-speaking-pmo-consultant"
"52","Business Development Manager – R&D Incentives","Ayming","Sales","Job","https://www.consultancy.uk/jobs/27666/ayming/business-development-manager-rd-incentives"
"53","Senior Manager Treasury Technology","Zanders","Corporate Finance","Job","https://www.consultancy.uk/jobs/34530/zanders/senior-manager-treasury-technology"
"54","Manager","CIL Management Consultants","Strategy","Job","https://www.consultancy.uk/jobs/28751/cil-management-consultants/manager"
"55","Manager and Senior Manager","Procura Consulting","Project Management","Job","https://www.consultancy.uk/jobs/35524/procura-consulting/manager-and-senior-manager"
"56","Technology and Architecture Roles","Coeus Consulting","Digital","Job","https://www.consultancy.uk/jobs/30223/coeus-consulting/technology-and-architecture-roles"
"57","Marketing Assistant","ThreeTwoFour","Marketing","Job","https://www.consultancy.uk/jobs/29625/threetwofour/marketing-assistant"
"58","Art Director","Capgemini Invent","Unknown","Job","https://www.consultancy.uk/jobs/40484/capgemini-invent/art-director"
"59","Principal Strategist","The Upside","Strategy","Job","https://www.consultancy.uk/jobs/35872/the-upside/principal-strategist"
"60","Business Analyst","McKinsey & Company","Strategy","Job","https://www.consultancy.uk/jobs/26231/mckinsey-company/business-analyst"
"61","Consultant","Enfuse Group","Digital","Job","https://www.consultancy.uk/jobs/37984/enfuse-group/consultant"
"62","Supply Chain Operations Analyst","BearingPoint","Supply Chain","Job","https://www.consultancy.uk/jobs/30511/bearingpoint/supply-chain-operations-analyst"
"63","Consultant Data Governance & Data Quality","Valcon","Data Science","Job","https://www.consultancy.uk/jobs/35954/valcon/consultant-data-governance-data-quality"
"64","Internship Business Development UK","COMATCH","Sales","Internship","https://www.consultancy.uk/internships/612/comatch/internship-business-development-uk"
"65","Marketing Executive","Genioo","Marketing","Job","https://www.consultancy.uk/jobs/33672/genioo/marketing-executive"
"66","Independent Consultants","Fairgrove Partners","Strategy","Job","https://www.consultancy.uk/jobs/30877/fairgrove-partners/independent-consultants"
"67","Customer Experience Specialist","Digital Power","CRM","Job","https://www.consultancy.uk/jobs/39314/digital-power/customer-experience-specialist"
"68","Supply Chain Operations Consultant","BearingPoint","Supply Chain","Job","https://www.consultancy.uk/jobs/30514/bearingpoint/supply-chain-operations-consultant"
"69","Cyber | Incident Response - Senior Manager","PwC","Cyber Security","Job","https://www.consultancy.uk/jobs/40044/pwc/cyber-incident-response-senior-manager"
"70","Contracts Manager","Panoptic Consultancy Group","Project Management","Job","https://www.consultancy.uk/jobs/33693/panoptic-consultancy-group/contracts-manager"
"71","Programme Director - Energy & Utilities","Capgemini Invent","Management","Job","https://www.consultancy.uk/jobs/37933/capgemini-invent/programme-director-energy-utilities"
"72","RE-4803; Procurement Consultant with SC Clearance","B2E Consulting","Procurement","Job","https://www.consultancy.uk/jobs/29244/b2e-consulting/re-4803-procurement-consultant-with-sc-clearance"
"73","Networks Consultant","PA Consulting","Unknown","Job","https://www.consultancy.uk/jobs/38590/pa-consulting/networks-consultant"
"74","Project Manager - Life Sciences","Genioo","Project Management","Job","https://www.consultancy.uk/jobs/33663/genioo/project-manager-life-sciences"
"75","Junior Talent Acquisition Specialist","Zanders","Recruitment","Job","https://www.consultancy.uk/jobs/34524/zanders/junior-talent-acquisition-specialist"
"76","Lean consultant","Develop Consulting","Lean & SixSigma","Job","https://www.consultancy.uk/jobs/35187/develop-consulting/lean-consultant"
"77","Strategy Director","The Upside","Strategy","Job","https://www.consultancy.uk/jobs/35869/the-upside/strategy-director"
"78","Managing Director, Mergers & Acquisitions","West Monroe","Mergers & Acquisitions","Job","https://www.consultancy.uk/jobs/37972/west-monroe/managing-director-mergers-acquisitions"
"79","Consultant, Business Intelligence | Forensic & Litigation Consulting","FTI Consulting","Forensic & Litigation","Job","https://www.consultancy.uk/jobs/35806/fti-consulting/consultant-business-intelligence-forensic-litigation-consulting"
"80","Consultant","Change Management Group","Strategy","Job","https://www.consultancy.uk/jobs/37355/change-management-group/consultant"
"81","Senior Consultant","Enfuse Group","Digital","Job","https://www.consultancy.uk/jobs/37987/enfuse-group/senior-consultant"
"82","Cyber Security Consultant - Manager","ThreeTwoFour","Project Management","Job","https://www.consultancy.uk/jobs/29499/threetwofour/cyber-security-consultant-manager"
"83","Senior Data Principal","Valcon","Project Management","Job","https://www.consultancy.uk/jobs/35957/valcon/senior-data-principal"
"84","Junior Associate","McKinsey & Company","Strategy","Job","https://www.consultancy.uk/jobs/26228/mckinsey-company/junior-associate"
"85","Consultant: Operations Performance","Ayming","Procurement","Job","https://www.consultancy.uk/jobs/27660/ayming/consultant-operations-performance"
"86","Generalist role","Coeus Consulting","Strategy","Job","https://www.consultancy.uk/jobs/30229/coeus-consulting/generalist-role"
"87","Senior Statistical / Data Analyst","Yonder Consulting","Data Science","Job","https://www.consultancy.uk/jobs/37411/yonder-consulting/senior-statistical-data-analyst"
"88","Data Analyst","Digital Power","Data Science","Job","https://www.consultancy.uk/jobs/39311/digital-power/data-analyst"
"89","Innovation Consultants: All levels","Ayming","Finance","Job","https://www.consultancy.uk/jobs/27669/ayming/innovation-consultants-all-levels"
"90","Transactions Tax, Senior Consultant","FTI Consulting","Management","Job","https://www.consultancy.uk/jobs/35788/fti-consulting/transactions-tax-senior-consultant"
"91","Cyber Security Consultant","BearingPoint","Cyber Security","Job","https://www.consultancy.uk/jobs/30517/bearingpoint/cyber-security-consultant"
"92","Technical Web Analyst","Digital Power","Digital","Job","https://www.consultancy.uk/jobs/39308/digital-power/technical-web-analyst"
"93","Managing Consultant - Networks/Telecoms","PA Consulting","Unknown","Job","https://www.consultancy.uk/jobs/38596/pa-consulting/managing-consultant-networkstelecoms"
"94","Deals | Forensic Accounting - Senior Manager","PwC","Forensic & Litigation","Job","https://www.consultancy.uk/jobs/40125/pwc/deals-forensic-accounting-senior-manager"
"95","Director, Research Practice","Yonder Consulting","Strategy","Job","https://www.consultancy.uk/jobs/37408/yonder-consulting/director-research-practice"
"96","Senior Consultant Treasury Technology","Zanders","Corporate Finance","Job","https://www.consultancy.uk/jobs/34527/zanders/senior-consultant-treasury-technology"
"97","Salesforce System Administrator","Genioo","Data Science","Job","https://www.consultancy.uk/jobs/33669/genioo/salesforce-system-administrator"
"98","PH-4762; Senior Project Manager - Sales Expansion, EMEA","B2E Consulting","Sales","Job","https://www.consultancy.uk/jobs/28718/b2e-consulting/ph-4762-senior-project-manager-sales-expansion-emea"
"99","Senior Consultant, Mergers & Acquisitions","West Monroe","Mergers & Acquisitions","Job","https://www.consultancy.uk/jobs/37969/west-monroe/senior-consultant-mergers-acquisitions"
"100","Director - ER&D Strategy & Transformation (Discrete/ Process industries)","Capgemini Invent","Strategy","Job","https://www.consultancy.uk/jobs/40326/capgemini-invent/director-erd-strategy-transformation-discrete-process-industries"
"101","Senior Consultant - Cyber Security","ThreeTwoFour","Cyber Security","Job","https://www.consultancy.uk/jobs/29502/threetwofour/senior-consultant-cyber-security"
"102","Business Analytics Engineer","Valcon","Data Science","Job","https://www.consultancy.uk/jobs/35945/valcon/business-analytics-engineer"
"103","Accounts Receivable Specialist","Yonder Consulting","Finance","Job","https://www.consultancy.uk/jobs/37396/yonder-consulting/accounts-receivable-specialist"
"104","Management Consultants: All levels","Ayming","Change Management","Job","https://www.consultancy.uk/jobs/27672/ayming/management-consultants-all-levels"
"105","Cyber Security Analyst","ThreeTwoFour","Risk & Compliance","Job","https://www.consultancy.uk/jobs/29424/threetwofour/cyber-security-analyst"
"106","Business & Technology Consultant","Valcon","Process Management","Job","https://www.consultancy.uk/jobs/35948/valcon/business-technology-consultant"
"107","Senior Project Manager - Life Sciences","Genioo","Project Management","Job","https://www.consultancy.uk/jobs/33666/genioo/senior-project-manager-life-sciences"
"108","Data Engineer","Digital Power","Data Science","Job","https://www.consultancy.uk/jobs/39305/digital-power/data-engineer"
"109","Wireless Technology Intellectual Property (IP) Specialist","PA Consulting","Property Management","Job","https://www.consultancy.uk/jobs/38578/pa-consulting/wireless-technology-intellectual-property-ip-specialist"
"110","MM-4797; Data Analyst, S&P","B2E Consulting","Data Science","Job","https://www.consultancy.uk/jobs/29169/b2e-consulting/mm-4797-data-analyst-sp"
"111","Director - Energy Transition","Capgemini Invent","Unknown","Job","https://www.consultancy.uk/jobs/40227/capgemini-invent/director-energy-transition"
"112","Manager | Portfolio & Programme Management | Advisory | Dublin/Cork","PwC","Management","Job","https://www.consultancy.uk/jobs/39853/pwc/manager-portfolio-programme-management-advisory-dublincork"
"113","Tax Depreciation, Senior Consultant","FTI Consulting","Finance","Job","https://www.consultancy.uk/jobs/35785/fti-consulting/tax-depreciation-senior-consultant"
"114","Senior Python Specialist","Valcon","Software","Job","https://www.consultancy.uk/jobs/35963/valcon/senior-python-specialist"
"115","Business Development Director","Yonder Consulting","Sales","Job","https://www.consultancy.uk/jobs/37399/yonder-consulting/business-development-director"
"116","Vice President Client Services - Life Sciences","Genioo","Strategy","Job","https://www.consultancy.uk/jobs/33660/genioo/vice-president-client-services-life-sciences"
"117","GCP Cloud Engineer","PA Consulting","Cloud","Job","https://www.consultancy.uk/jobs/38416/pa-consulting/gcp-cloud-engineer"
"118","Cyber Security Consultant | Cyber Consulting | Dublin or Cork","PwC","Cyber Security","Job","https://www.consultancy.uk/jobs/39694/pwc/cyber-security-consultant-cyber-consulting-dublin-or-cork"
"119","MM-4810; Senior Professional Services / Consultancy Procurement Manager","B2E Consulting","Procurement","Job","https://www.consultancy.uk/jobs/29316/b2e-consulting/mm-4810-senior-professional-services-consultancy-procurement-manager"
"120","Consultant- Programme and Change Acceleration","Capgemini Invent","Change Management","Job","https://www.consultancy.uk/jobs/37717/capgemini-invent/consultant-programme-and-change-acceleration"
